,Dataset,Scaling technique,Model,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5,acc_mean,acc_stddev,recall_fold1,recall_fold2,recall_fold3,recall_fold4,recall_fold5,recall_mean,recall_stddev,precision_fold1,precision_fold2,precision_fold3,precision_fold4,precision_fold5,precision_mean,precision_stddev,f1_fold1,f1_fold2,f1_fold3,f1_fold4,f1_fold5,f1_mean,f1_stddev,gmean_fold1,gmean_fold2,gmean_fold3,gmean_fold4,gmean_fold5,gmean_mean,gmean_stddev
10,11.0,NOR,SVM_lin,0.639344262295082,0.639344262295082,0.6557377049180327,0.6557377049180327,0.65,0.6480327868852458,0.007397058473887486,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.639344262295082,0.639344262295082,0.6557377049180327,0.6557377049180327,0.65,0.6480327868852458,0.007397058473887486,0.78,0.78,0.7920792079207921,0.7920792079207921,0.787878787878788,0.7864074407440744,0.005451849997611149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,12.0,NOR,SVM_lin,0.5714285714285714,0.576,0.576,0.576,0.568,0.5734857142857143,0.0032646529959053034,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5714285714285714,0.576,0.576,0.576,0.568,0.5734857142857143,0.0032646529959053034,0.7272727272727273,0.730964467005076,0.730964467005076,0.730964467005076,0.7244897959183673,0.7289311848412645,0.0026411787574526103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13.0,NOR,SVM_lin,0.5441176470588235,0.5441176470588235,0.5441176470588235,0.5373134328358209,0.5373134328358209,0.5413959613696224,0.003333370589388852,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5441176470588235,0.5441176470588235,0.5441176470588235,0.5373134328358209,0.5373134328358209,0.5413959613696224,0.003333370589388852,0.7047619047619048,0.7047619047619048,0.7047619047619048,0.6990291262135923,0.6990291262135923,0.7024687933425798,0.002808476450347809,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14.0,NOR,SVM_lin,0.4965986394557823,0.5034013605442177,0.5034013605442177,0.5034013605442177,0.5034013605442177,0.5020408163265306,0.002721088435374153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15.0,NOR,SVM_lin,0.5,0.5,0.5053191489361702,0.5053191489361702,0.5026737967914439,0.5026624189327569,0.002378802523319095,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5053191489361702,0.5053191489361702,0.5026737967914439,0.5026624189327569,0.002378802523319095,0.6666666666666666,0.6666666666666666,0.6713780918727916,0.6713780918727916,0.6690391459074733,0.669025732597278,0.002107024080024857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,16.0,NOR,SVM_lin,0.5131578947368421,0.5131578947368421,0.5,0.5,0.5,0.5052631578947369,0.00644602563890312,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5131578947368421,0.5131578947368421,0.5,0.5,0.5,0.5052631578947369,0.00644602563890312,0.6782608695652175,0.6782608695652175,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.671304347826087,0.005679976215149456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,17.0,NOR,SVM_lin,0.5038167938931297,0.5038167938931297,0.5038167938931297,0.5038167938931297,0.5038167938931297,0.5038167938931297,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5038167938931297,0.5038167938931297,0.5038167938931297,0.5038167938931297,0.5038167938931297,0.5038167938931297,0.0,0.6700507614213198,0.6700507614213198,0.6700507614213198,0.6700507614213198,0.6700507614213198,0.6700507614213198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,18.0,NOR,SVM_lin,0.4918032786885246,0.4918032786885246,0.5573770491803278,0.4098360655737705,0.4262295081967213,0.47540983606557374,0.05286726392326917,0.0,0.0,0.36666666666666664,0.23333333333333334,0.4,0.2,0.17256238807393048,0.0,0.0,0.5789473684210527,0.35,0.41379310344827586,0.26854809437386573,0.23165249530442972,0.0,0.0,0.44897959183673464,0.28,0.4067796610169491,0.22715185057073675,0.1936298274617799,0.0,0.0,0.5215774254630736,0.36808133743473326,0.42502371850324144,0.26293649628020965,0.2202244480661442
18,19.0,NOR,SVM_lin,0.5,0.5,0.4936708860759494,0.6455696202531646,0.6329113924050633,0.5544303797468354,0.06940126664239392,1.0,1.0,1.0,0.575,0.35,0.785,0.27276363393971714,0.5,0.5,0.4936708860759494,0.6764705882352942,0.8235294117647058,0.5987341772151898,0.1319931950671612,0.6666666666666666,0.6666666666666666,0.6610169491525424,0.6216216216216216,0.4912280701754386,0.6214399948565872,0.0672494123614895,0.0,0.0,0.0,0.6425110993753437,0.5683985600588051,0.24218193188682974,0.29753554249375
19,20.0,NOR,SVM_lin,0.5245901639344263,0.5245901639344263,0.5245901639344263,0.5166666666666667,0.5166666666666667,0.5214207650273224,0.0038817050568695052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
