Unnamed: 0,Dataset,Scaling technique,Model,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5,acc_mean,acc_stddev,recall_fold1,recall_fold2,recall_fold3,recall_fold4,recall_fold5,recall_mean,recall_stddev,precision_fold1,precision_fold2,precision_fold3,precision_fold4,precision_fold5,precision_mean,precision_stddev,f1_fold1,f1_fold2,f1_fold3,f1_fold4,f1_fold5,f1_mean,f1_stddev,gmean_fold1,gmean_fold2,gmean_fold3,gmean_fold4,gmean_fold5,gmean_mean,gmean_stddev
461,162.0,NOR,SVM_RBF,0.803030303030303,0.8,0.8,0.8,0.8,0.8006060606060605,0.0012121212121211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
462,163.0,NOR,SVM_RBF,0.7980769230769231,0.8058252427184466,0.8058252427184466,0.8058252427184466,0.8058252427184466,0.8042755787901419,0.0030993278566093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
463,164.0,NOR,SVM_RBF,0.8181818181818182,0.8307692307692308,0.8307692307692308,0.8153846153846154,0.8153846153846154,0.8220979020979021,0.0071534052321927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
464,165.0,NOR,SVM_RBF,0.7659574468085106,0.6382978723404256,0.7608695652173914,0.8695652173913043,0.6956521739130435,0.746068455134135,0.0774885734355509,0.8333333333333334,0.8333333333333334,0.8260869565217391,0.9565217391304348,0.782608695652174,0.846376811594203,0.0582240852944946,0.7407407407407407,0.6060606060606061,0.7307692307692307,0.8148148148148148,0.6666666666666666,0.7118104118104118,0.0707492571386425,0.7843137254901961,0.7017543859649124,0.7755102040816326,0.8800000000000001,0.72,0.7723156631073481,0.0623953482934784,0.761386987626881,0.601929265428846,0.7580693814853345,0.8652064670492348,0.6901959941907628,0.7353576191562118,0.0870594893370467
465,166.0,NOR,SVM_RBF,0.616,0.608,0.552,0.5967741935483871,0.5483870967741935,0.5842322580645162,0.0284787260176421,0.9701492537313432,0.9705882352941176,0.9558823529411764,0.8656716417910447,1.0,0.9524582967515364,0.0457067299600515,0.5855855855855856,0.584070796460177,0.5508474576271186,0.5858585858585859,0.5447154471544715,0.5702155745371877,0.0184298055689223,0.7303370786516854,0.729281767955801,0.6989247311827957,0.6987951807228914,0.7052631578947368,0.7125203832815821,0.0143127140102218,0.4480184541453183,0.4126483221471981,0.2589970335048127,0.4929457866468937,0.1324532357065043,0.3490125664301454,0.1338425843901826
466,167.0,NOR,SVM_RBF,0.6161616161616161,0.6326530612244898,0.7040816326530612,0.6530612244897959,0.673469387755102,0.655885384456813,0.0308472689295163,0.912280701754386,0.7857142857142857,0.9464285714285714,0.9107142857142856,0.912280701754386,0.8934837092731829,0.0555354908145045,0.611764705882353,0.6470588235294118,0.6708860759493671,0.6375,0.6582278481012658,0.6450874906924795,0.0200504371511045,0.7323943661971831,0.7096774193548386,0.7851851851851852,0.7499999999999999,0.7647058823529412,0.7483925706180296,0.0259892667756851,0.4421410655034332,0.5802884574739972,0.6004533434723092,0.5309310266899466,0.5581312422055299,0.5423890270690432,0.0552025154726654
467,168.0,NOR,SVM_RBF,0.6363636363636364,0.6694214876033058,0.6363636363636364,0.675,0.6166666666666667,0.646763085399449,0.0220581868594245,0.8225806451612904,0.8064516129032258,0.6935483870967742,0.7741935483870968,0.7540983606557377,0.7701745108408249,0.0451853718720359,0.6071428571428571,0.6410256410256411,0.6323529411764706,0.6575342465753424,0.5974025974025974,0.6270916566645817,0.0220362572029989,0.6986301369863014,0.7142857142857142,0.6615384615384615,0.7111111111111111,0.6666666666666666,0.690446418117651,0.0221966725681062,0.6020740533059845,0.6509445549041193,0.6321961340330046,0.6636937793161869,0.5982283745425385,0.6294273792203667,0.0259477296101618
468,169.0,NOR,SVM_RBF,0.6153846153846154,0.6333333333333333,0.6555555555555556,0.5888888888888889,0.5555555555555556,0.6097435897435897,0.0348088924884774,0.4186046511627907,0.5476190476190477,0.4761904761904761,0.5476190476190477,0.5581395348837209,0.5096345514950167,0.0541171437394884,0.6428571428571429,0.6216216216216216,0.6896551724137931,0.5609756097560976,0.5333333333333333,0.6096885759963977,0.0562854938863221,0.5070422535211269,0.5822784810126581,0.5633802816901408,0.5542168674698796,0.5454545454545454,0.5504744858296702,0.0249143239980767,0.5756694788133285,0.6228136361680158,0.6220166894101491,0.5850315416812198,0.5556600044757345,0.5922382701096895,0.026404691106267
469,170.0,NOR,SVM_RBF,0.6454545454545455,0.6788990825688074,0.6972477064220184,0.5871559633027523,0.6697247706422018,0.6556964136780652,0.0381165522413006,0.8709677419354839,0.8225806451612904,0.8688524590163934,0.7213114754098361,0.8852459016393442,0.8337916446324696,0.0600605335600204,0.6352941176470588,0.68,0.6794871794871795,0.6111111111111112,0.6506024096385542,0.6512989635767807,0.0264197985397453,0.7346938775510204,0.7445255474452556,0.762589928057554,0.6616541353383459,0.75,0.7306926976784351,0.0356760017149497,0.555398723383016,0.6344599787641435,0.6452326220922358,0.5482211671282237,0.591954251666101,0.5950533486067441,0.039613606029779
470,171.0,NOR,SVM_RBF,0.5662650602409639,0.5662650602409639,0.6024096385542169,0.5662650602409639,0.6265060240963856,0.5855421686746988,0.0248087473276795,0.325,0.425,0.3333333333333333,0.4102564102564102,0.4871794871794871,0.3961538461538462,0.0605407910150324,0.5909090909090909,0.5666666666666667,0.65,0.5517241379310345,0.6333333333333333,0.5985266457680252,0.0377480379499618,0.4193548387096774,0.4857142857142856,0.4406779661016949,0.4705882352941176,0.5507246376811593,0.4734119927001869,0.0450116817907338,0.5069287367925067,0.5445288127427022,0.5294365215047317,0.5376283930786107,0.6044705248269889,0.5445985977891081,0.0325027483626993
